Date,,,Dividends,,,
2/28/1985,Q1-1985,1985,0.176282,,1985,4
5/31/1985,Q2-1985,1985,0.176282,,1986,4
9/24/1985,Q3-1985,1985,0.176282,,1987,4
12/2/1985,Q4-1985,1985,0.185897,,1988,4
2/28/1986,Q1-1986,1986,0.185897,,1989,4
6/2/1986,Q2-1986,1986,0.185897,,1990,4
9/23/1986,Q3-1986,1986,0.185897,,1991,4
12/2/1986,Q4-1986,1986,0.201923,,1992,4
3/2/1987,Q1-1987,1987,0.201923,,1993,4
6/8/1987,Q2-1987,1987,0.211538,,1994,4
9/23/1987,Q3-1987,1987,0.211538,,1995,4
12/1/1987,Q4-1987,1987,0.224359,,1996,4
3/2/1988,Q1-1988,1988,0.224359,,1997,4
6/7/1988,Q2-1988,1988,0.224359,,1998,4
9/21/1988,Q3-1988,1988,0.224359,,1999,4
12/2/1988,Q4-1988,1988,0.224359,,2000,4
3/1/1989,Q1-1989,1989,0.262821,,2001,4
6/6/1989,Q2-1989,1989,0.262821,,2002,4
9/21/1989,Q3-1989,1989,0.262821,,2003,4
12/4/1989,Q4-1989,1989,0.301282,,2004,4
2/28/1990,Q1-1990,1990,0.301282,,2005,4
5/31/1990,Q2-1990,1990,0.301282,,2006,4
9/20/1990,Q3-1990,1990,0.301282,,2007,4
12/3/1990,Q4-1990,1990,0.326923,,2008,4
2/28/1991,Q1-1991,1991,0.326923,,2009,4
5/31/1991,Q2-1991,1991,0.326923,,2010,4
9/20/1991,Q3-1991,1991,0.326923,,2011,4
12/3/1991,Q4-1991,1991,0.352564,,2012,4
3/3/1992,Q1-1992,1992,0.352564,,2013,4
6/2/1992,Q2-1992,1992,0.352564,,2014,4
9/21/1992,Q3-1992,1992,0.378205,,2015,4
12/1/1992,Q4-1992,1992,0.403846,,2016,4
3/3/1993,Q1-1993,1993,0.403846,,2017,4
6/2/1993,Q2-1993,1993,0.403846,,2018,4
9/20/1993,Q3-1993,1993,0.403846,,2019,4
12/27/1993,Q4-1993,1993,0.461538,,2020,4
3/2/1994,Q1-1994,1994,0.461538,,2021,4
6/28/1994,Q2-1994,1994,0.461538,,2022,2
9/26/1994,Q3-1994,1994,0.461538,,,
12/23/1994,Q4-1994,1994,0.525641,,,
3/1/1995,Q1-1995,1995,0.525641,,,
6/30/1995,Q2-1995,1995,0.525641,,,
9/27/1995,Q3-1995,1995,0.525641,,,
12/27/1995,Q4-1995,1995,0.589744,,,
3/4/1996,Q1-1996,1996,0.589744,,,
7/1/1996,Q3-1996,1996,0.589744,,,
9/26/1996,Q3-1996,1996,0.589744,,,
12/27/1996,Q4-1996,1996,0.666667,,,
3/4/1997,Q1-1997,1997,0.666667,,,
7/2/1997,Q3-1997,1997,0.666667,,,
9/26/1997,Q3-1997,1997,0.666667,,,
12/29/1997,Q4-1997,1997,0.769231,,,
3/5/1998,Q1-1998,1998,0.769231,,,
7/6/1998,Q3-1998,1998,0.769231,,,
9/28/1998,Q3-1998,1998,0.769231,,,
12/29/1998,Q4-1998,1998,0.897436,,,
3/4/1999,Q1-1999,1999,0.897436,,,
