Date,Open,High,Low,Close,Adj Close,Volume
1/1/1985,4.984375,5.5625,4.8125,5.515625,1.917841,17046400
2/1/1985,5.5,6,5.359375,5.96875,2.075396,11101600
3/1/1985,5.953125,6.28125,5.78125,6.21875,2.18238,9357600
4/1/1985,6.15625,6.203125,5.734375,5.96875,2.094647,12930400
5/1/1985,5.984375,7.359375,5.765625,7.28125,2.555249,17680000
6/1/1985,7.15625,7.46875,6.765625,7.296875,2.58129,14332000
7/1/1985,7.25,7.5,6.4375,6.703125,2.371251,14189600
8/1/1985,6.8125,7.46875,6.625,7.421875,2.62551,10958400
9/1/1985,7.375,7.875,7.265625,7.75,2.764395,15036800
10/1/1985,7.75,8.40625,7.46875,8.375,2.987331,16371200
11/1/1985,8.40625,9,8.125,8.765625,3.126663,15736000
12/1/1985,8.796875,8.90625,8.375,8.6875,3.119295,16377600
1/1/1986,8.6875,9.28125,7.875,9.1875,3.298822,15372400
2/1/1986,9.1875,9.71875,8.375,9.65625,3.46713,18445200
3/1/1986,9.625,10.75,9.53125,10.6875,3.863872,18060800
4/1/1986,10.75,11.21875,9.25,10.5,3.796085,15910000
5/1/1986,10.46875,12.25,10.25,12.03125,4.349679,12211600
6/1/1986,12.03125,14.6875,11.03125,14.375,5.223737,14111200
7/1/1986,14.28125,14.53125,12.53125,13.53125,4.917128,14475200
8/1/1986,13.53125,13.96875,13.03125,13.8125,5.019329,9514400
9/1/1986,13.78125,13.96875,10.5625,11.59375,4.232343,15889600
10/1/1986,11.625,13.15625,11.59375,12.8125,4.677249,16206400
11/1/1986,12.90625,13.21875,11.8125,13.15625,4.802735,13202400
12/1/1986,13.125,13.75,12.59375,12.9375,4.747533,18979200
1/1/1987,12.875,15.59375,12.875,14.96875,5.492919,19807600
2/1/1987,14.9375,15.65625,14.1875,15.09375,5.538788,12765200
3/1/1987,15.3125,16.375,14.5625,14.75,5.437011,18034000
4/1/1987,14.625,15.3125,13.25,14.4375,5.321819,17698800
5/1/1987,14.4375,15.65625,13.59375,15.125,5.575242,16600000
6/1/1987,15.25,17.1875,15.0625,16.4375,6.093574,14833200
7/1/1987,16.28125,16.75,15.125,15.8125,5.861879,12256000
8/1/1987,15.5625,16.9375,15.1875,16.125,5.977721,21257200
9/1/1987,16.15625,16.375,15,15.4375,5.752951,13175600
10/1/1987,15.375,16.03125,9.5,14.40625,5.368646,27946800
11/1/1987,14.46875,14.5625,12.5,12.84375,4.786364,14756800
12/1/1987,13.1875,13.75,12.15625,13.09375,4.910231,16224400
1/1/1988,13.03125,13.71875,12.3125,13.21875,4.957108,13270800
2/1/1988,13.25,13.9375,12.53125,12.875,4.828196,16030800
3/1/1988,12.8125,13.34375,12.53125,13.03125,4.923752,18792400
4/1/1988,13,13.65625,12.625,12.9375,4.888329,13068800
5/1/1988,13,13.46875,12.625,13.4375,5.07725,9369600
6/1/1988,13.375,13.875,13.125,13.65625,5.197342,13814400
7/1/1988,13.65625,13.9375,13.0625,13.84375,5.268705,9479600
8/1/1988,13.84375,14.71875,13.71875,14.34375,5.458996,12740400
